Date,Open,High,Low,Close,Volume
2013-02-03,24.644,25.321,22.376,23.543,302751834
2013-02-10,23.254,26.983,23.254,25.853,253944551
2013-02-17,25.569,27.143,24.971,27.073,163595985
2013-02-24,27.286,28.231,25.49,25.694,145055148
2013-03-03,25.856,27.447,25.064,27.053,164439191
2013-03-10,26.954,27.154,25.166,26.386,149835224
2013-03-17,26.286,27.884,25.573,26.407,145238786
2013-03-24,25.911,26.771,25.607,25.9,82243882
2013-03-31,26.061,28.151,25.681,27.04,121939188
2013-04-07,27.286,27.357,23.219,23.523,197587894
2013-04-14,23.69,25.377,22.714,24.743,166336324
2013-04-21,25.08,26.05,23.114,23.339,147088550
2013-04-28,23.771,32.043,23.674,30.793,297278429
2013-05-05,30.944,31.393,30.027,30.493,98402234
2013-05-12,29.947,31.393,29.146,31.099,122268930
2013-05-19,31.024,35.55,31.02,34.143,164158911
2013-05-26,34.063,34.521,31.65,32.677,76059599
2013-06-02,33.107,33.709,29.987,32.321,123039896
2013-06-09,32.436,32.571,30.571,31.46,118755385
2013-06-16,31.861,31.904,29.393,30.57,78144360
2013-06-23,32.22,33.697,30.6,30.986,120209964
2013-06-30,30.429,31.297,29.651,30.156,95568403
2013-07-07,30.517,32.496,30.286,32.157,60847472
2013-07-14,32.426,36.776,32.216,36.751,137949721
2013-07-21,37.057,38.616,36.019,37.797,112096453
2013-07-28,38.121,38.393,34.273,35.187,193872644
2013-08-04,35.151,35.81,34.544,35.169,65350012
2013-08-11,34.844,36.8,34.483,36.107,86869202
2013-08-18,35.897,37.684,35.774,36.981,95143615
2013-08-25,36.857,39.77,36.821,39.766,99235836
2013-09-01,39.444,41.461,39.149,40.559,107737896
2013-09-08,41.061,42.704,40.65,41.649,76493704
2013-09-15,41.821,44.883,41.469,43.664,117458467
2013-09-22,44.286,45.127,42.529,44.833,94225642
2013-09-29,45.763,45.77,42.789,44.629,86255463
2013-10-06,43.96,47.786,43.6,46.751,114325554
2013-10-13,46.291,46.71,40.4,42.979,135144121
2013-10-20,44.373,48.069,43.714,47.643,136064978
2013-10-27,48.989,55.594,45.286,46.861,361201036
2013-11-03,46.429,47.643,44.171,47.039,127414630
2013-11-10,47.279,49.196,46.45,47.843,99483188
2013-11-17,47.601,49.984,46.946,49.966,81339790
2013-11-24,50,50.086,47.749,49.693,87004246
2013-12-01,49.557,52.543,49.287,52.257,53888205
2013-12-08,52.126,52.664,50.286,50.634,70347529
2013-12-15,50.739,53.857,50.474,52.71,85082704
2013-12-22,52.857,54.266,52.036,53.667,84945224
2013-12-29,54.099,54.851,52.259,52.5,47432931
2014-01-05,52.517,52.791,51.291,51.871,48752221
2014-01-12,51.89,52.044,47.219,47.449,104952463
2014-01-19,47.304,49.81,45.581,47.149,125015891
2014-01-26,47.453,56.519,45.75,55.154,201162612
2014-02-02,55.364,58.914,52.937,58.476,147264376
2014-02-09,58.843,61.5,56.716,61.426,100900513
2014-02-16,61.303,62.784,60.611,62.216,73979143
2014-02-23,62.423,63.034,61.139,61.747,57026011
2014-03-02,62.21,65.399,61.214,63.661,85886059
2014-03-09,62.944,65.429,62.586,64.053,60198880
2014-03-16,64.071,64.111,60.429,60.641,64460886
2014-03-23,61.17,61.743,57.963,57.999,77257656
2014-03-30,57.923,58.064,50.821,51.267,153420183
2014-04-06,51.644,53.007,47.983,48.187,124622218
2014-04-13,48.644,51.069,46.23,46.673,138611669
2014-04-20,47.556,49.961,44.586,49.391,97050352
2014-04-27,49.9,54.411,46,46.011,216369958
2014-05-04,45.429,49.384,42.786,48.664,157080035
